"age","gender","declared_income","premium_term","policy_term","premium_amount","booking_frequency","location","policy_type","current_status"
57,"female",750000,20,30,19386,"Yearly","semi-urban","Endowment","married"
56,"male",250000,30,40,16318,"Quarterly","semi-urban","Endowment","married"
37,"male",1350000,10,20,28212,"Monthly","semi-urban","ULIP","married"
42,"male",4e+05,25,35,16253,"Yearly","rural","Term","married"
56,"male",750000,30,40,21739,"Monthly","urban","Endowment","married"
41,"female",850000,30,40,16475,"Monthly","semi-urban","Term","married"
33,"male",1500000,20,30,28761,"Monthly","semi-urban","ULIP","widow"
25,"female",250000,5,15,11784,"Quarterly","urban","Term","married"
54,"male",250000,30,40,18478,"Monthly","urban","Endowment","unmarried"
34,"female",4e+05,15,25,9795,"Quarterly","semi-urban","Term","unmarried"
59,"female",3e+05,20,30,18890,"Monthly","semi-urban","Endowment","unmarried"
28,"male",3e+05,10,20,11139,"Yearly","semi-urban","Term","married"
31,"female",650000,10,20,13352,"Half_yearly","semi-urban","Term","married"
24,"female",1500000,10,20,27759,"Monthly","rural","ULIP","married"
60,"female",450000,20,30,21534,"Monthly","urban","Endowment","married"
25,"female",3e+05,10,20,10083,"Monthly","semi-urban","Term","unmarried"
43,"female",2e+05,25,35,11547,"Monthly","semi-urban","Term","unmarried"
60,"female",7e+05,20,30,21010,"Half_yearly","rural","Endowment","unmarried"
19,"male",950000,5,15,15345,"Monthly","rural","Term","unmarried"
42,"male",7e+05,30,40,15895,"Half_yearly","urban","Term","married"
28,"male",1400000,10,20,28949,"Quarterly","semi-urban","ULIP","unmarried"
36,"female",3e+05,10,20,10753,"Monthly","rural","Term","married"
37,"male",1150000,15,25,28914,"Quarterly","urban","ULIP","unmarried"
35,"female",1300000,20,30,29546,"Yearly","urban","ULIP","married"
55,"male",4e+05,20,30,17120,"Quarterly","urban","Endowment","married"
33,"male",250000,20,30,10237,"Yearly","rural","Term","unmarried"
38,"female",8e+05,20,30,16628,"Monthly","urban","Term","married"
54,"female",4e+05,20,30,16813,"Monthly","rural","Endowment","married"
52,"male",1050000,25,35,28470,"Monthly","rural","ULIP","married"
29,"female",1350000,5,15,27722,"Monthly","rural","ULIP","unmarried"
19,"male",850000,5,15,18338,"Quarterly","urban","Term","married"
57,"female",6e+05,25,35,21181,"Monthly","urban","Endowment","unmarried"
32,"female",350000,20,30,10306,"Quarterly","rural","Term","married"
40,"female",750000,20,30,13956,"Monthly","semi-urban","Term","married"
54,"female",7e+05,25,35,20783,"Half_yearly","rural","Endowment","unmarried"
27,"female",850000,5,15,16066,"Monthly","rural","Term","married"
33,"male",950000,10,20,19374,"Half_yearly","urban","Term","married"
34,"female",650000,20,30,16114,"Yearly","urban","Term","unmarried"
29,"male",1350000,10,20,28591,"Quarterly","urban","ULIP","unmarried"
29,"female",1400000,10,20,30440,"Monthly","rural","ULIP","married"
41,"male",350000,30,40,9880,"Quarterly","semi-urban","Term","married"
57,"female",8e+05,30,40,25255,"Yearly","urban","Endowment","married"
53,"male",1150000,30,40,28473,"Monthly","semi-urban","ULIP","married"
21,"male",1300000,5,15,26845,"Monthly","urban","ULIP","married"
31,"male",8e+05,20,30,17216,"Monthly","urban","Term","unmarried"
43,"male",8e+05,20,30,15204,"Monthly","semi-urban","Term","unmarried"
58,"male",5e+05,25,35,17250,"Half_yearly","semi-urban","Endowment","married"
28,"female",5e+05,5,15,12360,"Quarterly","urban","Term","unmarried"
18,"male",2e+05,10,20,4546,"Yearly","rural","Term","married"
54,"male",550000,25,35,18974,"Quarterly","rural","Endowment","unmarried"
41,"male",1100000,25,35,26300,"Yearly","semi-urban","ULIP","married"
27,"female",1300000,10,20,26872,"Half_yearly","rural","ULIP","married"
39,"male",2e+05,10,20,10271,"Monthly","semi-urban","Term","married"
58,"female",1400000,20,30,30662,"Quarterly","semi-urban","ULIP","married"
20,"female",4e+05,10,20,11384,"Yearly","urban","Term","unmarried"
22,"female",1050000,5,15,23234,"Monthly","semi-urban","ULIP","married"
18,"female",6e+05,5,15,12439,"Quarterly","urban","Term","unmarried"
19,"male",9e+05,5,15,14200,"Half_yearly","urban","Term","unmarried"
27,"male",7e+05,5,15,14675,"Quarterly","semi-urban","Term","widow"
54,"male",2e+05,30,40,15435,"Quarterly","urban","Endowment","unmarried"
60,"male",350000,20,30,15230,"Quarterly","semi-urban","Endowment","married"
23,"male",1050000,5,15,23374,"Yearly","semi-urban","ULIP","married"
28,"male",1500000,5,15,32543,"Monthly","urban","ULIP","married"
50,"male",550000,20,30,21181,"Monthly","rural","Endowment","unmarried"
29,"female",950000,5,15,16976,"Yearly","semi-urban","Term","unmarried"
60,"male",550000,20,30,22213,"Monthly","urban","Endowment","married"
19,"female",350000,10,20,11232,"Half_yearly","urban","Term","married"
37,"female",4e+05,10,20,11628,"Yearly","semi-urban","Term","unmarried"
35,"female",950000,15,25,21485,"Monthly","urban","Term","married"
31,"male",1200000,10,20,30435,"Monthly","urban","ULIP","unmarried"
54,"female",1150000,30,40,28141,"Half_yearly","urban","ULIP","married"
23,"male",1250000,10,20,29663,"Quarterly","urban","ULIP","unmarried"
21,"male",450000,5,15,8102,"Yearly","rural","Term","married"
29,"female",950000,10,20,16289,"Monthly","rural","Term","unmarried"
44,"female",6e+05,20,30,13893,"Monthly","urban","Term","unmarried"
53,"female",850000,25,35,20808,"Monthly","urban","Endowment","married"
50,"male",7e+05,20,30,21079,"Half_yearly","urban","Endowment","married"
48,"male",1200000,25,35,30417,"Monthly","rural","ULIP","married"
25,"male",850000,10,20,13921,"Monthly","rural","Term","married"
28,"female",1500000,10,20,31143,"Monthly","urban","ULIP","married"
21,"female",850000,10,20,14934,"Monthly","rural","Term","married"
30,"male",950000,10,20,16958,"Yearly","rural","Term","married"
55,"female",750000,20,30,19855,"Quarterly","semi-urban","Endowment","married"
42,"female",1050000,25,35,24926,"Quarterly","rural","ULIP","married"
31,"male",850000,20,30,14078,"Monthly","semi-urban","Term","married"
18,"male",9e+05,10,20,12284,"Monthly","rural","Term","unmarried"
41,"male",7e+05,25,35,15256,"Yearly","semi-urban","Term","unmarried"
39,"male",4e+05,10,20,15033,"Yearly","urban","Term","married"
36,"male",650000,20,30,12784,"Half_yearly","semi-urban","Term","married"
37,"female",8e+05,10,20,17132,"Half_yearly","rural","Term","married"
21,"male",750000,10,20,12848,"Monthly","semi-urban","Term","married"
25,"male",750000,10,20,14946,"Monthly","semi-urban","Term","unmarried"
56,"male",1e+06,30,40,25588,"Monthly","semi-urban","Endowment","married"
20,"male",1500000,10,20,30417,"Yearly","urban","ULIP","unmarried"
58,"female",1300000,30,40,32696,"Quarterly","semi-urban","ULIP","unmarried"
41,"male",8e+05,20,30,15888,"Monthly","rural","Term","married"
37,"female",650000,10,20,15695,"Quarterly","semi-urban","Term","married"
36,"female",7e+05,20,30,11108,"Monthly","rural","Term","unmarried"
48,"male",650000,20,30,22012,"Quarterly","semi-urban","Endowment","unmarried"
37,"male",1350000,10,20,27848,"Half_yearly","semi-urban","ULIP","married"
55,"male",9e+05,30,40,22896,"Monthly","urban","Endowment","married"
55,"male",1300000,30,40,30149,"Monthly","semi-urban","ULIP","married"
27,"female",1100000,5,15,27978,"Quarterly","rural","ULIP","unmarried"
50,"male",1050000,30,40,26795,"Yearly","rural","ULIP","married"
49,"female",750000,25,35,20342,"Half_yearly","semi-urban","Endowment","unmarried"
31,"female",1150000,10,20,28775,"Monthly","urban","ULIP","unmarried"
21,"male",550000,10,20,9976,"Monthly","rural","Term","married"
23,"male",1e+06,5,15,18043,"Quarterly","semi-urban","Term","married"
23,"male",550000,5,15,11163,"Quarterly","rural","Term","unmarried"
33,"male",1500000,10,20,35816,"Quarterly","urban","ULIP","unmarried"
47,"female",1200000,20,30,29045,"Quarterly","rural","ULIP","unmarried"
32,"female",3e+05,20,30,12122,"Monthly","urban","Term","married"
25,"female",650000,10,20,14558,"Monthly","rural","Term","married"
60,"female",950000,30,40,24921,"Monthly","semi-urban","Endowment","unmarried"
57,"female",6e+05,25,35,19758,"Monthly","semi-urban","Endowment","unmarried"
23,"female",6e+05,10,20,13049,"Monthly","urban","Term","unmarried"
55,"male",750000,30,40,21017,"Quarterly","rural","Endowment","unmarried"
41,"male",1100000,25,35,27375,"Monthly","semi-urban","ULIP","married"
60,"male",4e+05,30,40,18684,"Monthly","semi-urban","Endowment","married"
49,"male",750000,20,30,23707,"Monthly","urban","Endowment","widow"
46,"female",1400000,30,40,31520,"Monthly","semi-urban","ULIP","unmarried"
42,"male",450000,20,30,15182,"Yearly","rural","Term","unmarried"
57,"female",8e+05,30,40,21769,"Monthly","urban","Endowment","widow"
58,"male",1250000,25,35,30674,"Quarterly","semi-urban","ULIP","unmarried"
25,"male",1e+06,5,15,15341,"Monthly","semi-urban","Term","married"
60,"male",1450000,30,40,32453,"Monthly","rural","ULIP","unmarried"
28,"female",5e+05,10,20,13062,"Monthly","urban","Term","married"
31,"female",2e+05,10,20,8691,"Monthly","urban","Term","married"
33,"male",8e+05,10,20,17356,"Monthly","urban","Term","married"
49,"female",650000,25,35,19143,"Monthly","semi-urban","Endowment","married"
37,"female",9e+05,15,25,16808,"Monthly","urban","Term","married"
59,"female",1050000,20,30,29826,"Yearly","rural","ULIP","married"
31,"female",1150000,15,25,27709,"Half_yearly","urban","ULIP","unmarried"
19,"female",7e+05,10,20,11194,"Quarterly","semi-urban","Term","married"
33,"male",550000,10,20,13961,"Monthly","urban","Term","married"
20,"female",9e+05,10,20,15828,"Monthly","semi-urban","Term","unmarried"
59,"female",1050000,20,30,30119,"Quarterly","rural","ULIP","married"
32,"male",3e+05,10,20,12240,"Monthly","urban","Term","married"
38,"female",1500000,10,20,31854,"Yearly","urban","ULIP","married"
53,"female",1150000,20,30,28895,"Yearly","semi-urban","ULIP","unmarried"
32,"female",1400000,15,25,30678,"Monthly","urban","ULIP","married"
41,"male",1250000,25,35,26240,"Yearly","semi-urban","ULIP","unmarried"
37,"female",1450000,10,20,29971,"Quarterly","rural","ULIP","married"
28,"female",3e+05,10,20,9584,"Yearly","urban","Term","married"
33,"male",5e+05,20,30,13238,"Half_yearly","urban","Term","married"
38,"male",8e+05,15,25,17493,"Half_yearly","urban","Term","unmarried"
42,"female",450000,25,35,14427,"Half_yearly","semi-urban","Term","married"
28,"male",650000,5,15,13342,"Yearly","semi-urban","Term","married"
33,"female",6e+05,15,25,14527,"Yearly","rural","Term","married"
42,"male",1400000,25,35,31397,"Half_yearly","semi-urban","ULIP","unmarried"
42,"male",250000,30,40,9479,"Monthly","semi-urban","Term","unmarried"
18,"male",350000,10,20,7660,"Half_yearly","semi-urban","Term","married"
42,"male",1450000,30,40,30811,"Monthly","semi-urban","ULIP","married"
18,"female",1050000,10,20,21428,"Monthly","rural","ULIP","married"
40,"male",4e+05,20,30,13177,"Yearly","rural","Term","married"
53,"female",1050000,30,40,25412,"Monthly","rural","ULIP","unmarried"
37,"male",1450000,10,20,36137,"Quarterly","urban","ULIP","married"
36,"female",1400000,15,25,31418,"Quarterly","urban","ULIP","married"
36,"male",6e+05,20,30,14091,"Monthly","urban","Term","widow"
51,"male",1150000,30,40,29482,"Yearly","urban","ULIP","married"
49,"male",1150000,20,30,28857,"Yearly","urban","ULIP","married"
46,"female",8e+05,30,40,22822,"Half_yearly","urban","Endowment","married"
46,"male",850000,30,40,21062,"Monthly","semi-urban","Endowment","unmarried"
28,"male",1400000,5,15,29605,"Monthly","rural","ULIP","unmarried"
21,"male",450000,5,15,12599,"Yearly","urban","Term","married"
33,"female",250000,15,25,8403,"Half_yearly","rural","Term","married"
31,"female",250000,15,25,10661,"Half_yearly","urban","Term","married"
47,"female",550000,20,30,22544,"Half_yearly","urban","Endowment","married"
25,"male",9e+05,5,15,15961,"Monthly","rural","Term","unmarried"
21,"female",650000,5,15,11376,"Quarterly","semi-urban","Term","unmarried"
35,"male",9e+05,10,20,14114,"Half_yearly","rural","Term","unmarried"
20,"male",6e+05,10,20,11714,"Monthly","rural","Term","widow"
23,"male",450000,5,15,9513,"Monthly","semi-urban","Term","married"
55,"male",350000,20,30,16209,"Quarterly","rural","Endowment","married"
27,"female",950000,5,15,16267,"Monthly","urban","Term","married"
22,"female",7e+05,5,15,11985,"Half_yearly","semi-urban","Term","married"
45,"male",850000,25,35,18261,"Half_yearly","rural","Term","unmarried"
23,"female",450000,10,20,11418,"Monthly","urban","Term","unmarried"
35,"female",1150000,20,30,25099,"Yearly","rural","ULIP","married"
58,"female",1150000,20,30,29556,"Quarterly","rural","ULIP","married"
32,"female",4e+05,20,30,12595,"Monthly","urban","Term","married"
26,"male",450000,5,15,10522,"Quarterly","rural","Term","unmarried"
43,"female",450000,20,30,13772,"Yearly","semi-urban","Term","unmarried"
24,"male",1250000,5,15,27287,"Monthly","rural","ULIP","unmarried"
50,"male",850000,20,30,22138,"Quarterly","semi-urban","Endowment","widow"
42,"male",650000,20,30,17698,"Monthly","urban","Term","married"
41,"male",5e+05,20,30,15469,"Quarterly","urban","Term","married"
37,"male",350000,15,25,14068,"Yearly","urban","Term","married"
37,"female",1100000,10,20,27523,"Monthly","urban","ULIP","married"
39,"female",450000,10,20,12869,"Quarterly","semi-urban","Term","married"
23,"male",1100000,5,15,25055,"Monthly","urban","ULIP","married"
50,"male",1050000,30,40,28082,"Monthly","semi-urban","ULIP","unmarried"
39,"female",1150000,20,30,28002,"Quarterly","rural","ULIP","married"
60,"female",450000,25,35,15267,"Monthly","semi-urban","Endowment","unmarried"
30,"male",3e+05,10,20,12272,"Monthly","urban","Term","married"
20,"female",350000,10,20,10346,"Half_yearly","rural","Term","unmarried"
37,"female",2e+05,15,25,8171,"Quarterly","semi-urban","Term","married"
43,"male",6e+05,30,40,14564,"Monthly","rural","Term","married"
19,"male",950000,10,20,15660,"Monthly","urban","Term","married"
33,"female",8e+05,10,20,18609,"Quarterly","urban","Term","widow"
37,"female",250000,15,25,8652,"Monthly","rural","Term","married"
44,"male",9e+05,30,40,17625,"Monthly","urban","Term","married"
33,"female",350000,15,25,14216,"Yearly","urban","Term","widow"
53,"female",1100000,25,35,26330,"Yearly","rural","ULIP","married"
40,"female",1350000,10,20,27635,"Yearly","rural","ULIP","married"
52,"male",1400000,25,35,33199,"Monthly","urban","ULIP","unmarried"
57,"male",1350000,20,30,34783,"Half_yearly","urban","ULIP","married"
45,"male",7e+05,30,40,18229,"Monthly","urban","Term","unmarried"
44,"female",4e+05,25,35,10847,"Monthly","rural","Term","unmarried"
26,"female",3e+05,10,20,11313,"Monthly","urban","Term","married"
40,"male",1500000,10,20,31596,"Quarterly","rural","ULIP","unmarried"
38,"male",650000,20,30,15350,"Monthly","rural","Term","unmarried"
51,"female",550000,30,40,18801,"Yearly","rural","Endowment","married"
57,"female",850000,20,30,22010,"Monthly","urban","Endowment","married"
45,"female",650000,30,40,18228,"Quarterly","urban","Term","married"
50,"female",1100000,30,40,27437,"Yearly","rural","ULIP","unmarried"
27,"female",3e+05,10,20,10153,"Quarterly","semi-urban","Term","married"
59,"male",750000,25,35,25041,"Yearly","rural","Endowment","married"
20,"male",1250000,5,15,27234,"Quarterly","semi-urban","ULIP","unmarried"
43,"male",850000,20,30,17599,"Monthly","rural","Term","unmarried"
34,"male",450000,10,20,10356,"Monthly","rural","Term","married"
60,"female",1300000,20,30,32574,"Yearly","urban","ULIP","unmarried"
59,"male",650000,20,30,21058,"Monthly","semi-urban","Endowment","married"
35,"female",1400000,10,20,29144,"Monthly","urban","ULIP","unmarried"
20,"female",5e+05,10,20,8884,"Half_yearly","semi-urban","Term","married"
22,"female",450000,10,20,9801,"Monthly","semi-urban","Term","married"
24,"female",250000,5,15,6718,"Half_yearly","semi-urban","Term","widow"
30,"female",1050000,5,15,26484,"Monthly","urban","ULIP","married"
49,"female",750000,30,40,20276,"Quarterly","urban","Endowment","married"
30,"female",9e+05,10,20,17333,"Yearly","urban","Term","married"
25,"female",2e+05,10,20,6938,"Yearly","rural","Term","unmarried"
37,"male",850000,15,25,15594,"Quarterly","rural","Term","married"
39,"male",650000,15,25,17869,"Monthly","urban","Term","unmarried"
47,"male",1500000,20,30,32950,"Monthly","urban","ULIP","married"
53,"male",6e+05,25,35,21021,"Yearly","rural","Endowment","married"
33,"male",750000,20,30,16584,"Monthly","urban","Term","married"
53,"female",1400000,30,40,34706,"Quarterly","rural","ULIP","unmarried"
57,"male",1250000,20,30,31536,"Monthly","urban","ULIP","unmarried"
56,"female",5e+05,25,35,24123,"Yearly","urban","Endowment","married"
42,"male",8e+05,20,30,16674,"Monthly","rural","Term","married"
51,"female",450000,30,40,17035,"Quarterly","semi-urban","Endowment","married"
34,"female",1150000,20,30,30237,"Half_yearly","urban","ULIP","unmarried"
20,"female",9e+05,10,20,12840,"Monthly","semi-urban","Term","married"
27,"male",6e+05,10,20,15266,"Monthly","urban","Term","married"
29,"female",2e+05,5,15,10096,"Monthly","rural","Term","unmarried"
44,"female",1050000,30,40,25279,"Monthly","urban","ULIP","married"
22,"male",1500000,10,20,26555,"Quarterly","rural","ULIP","married"
58,"male",1350000,20,30,32747,"Half_yearly","semi-urban","ULIP","married"
30,"male",1400000,10,20,28782,"Monthly","rural","ULIP","married"
51,"male",3e+05,20,30,19388,"Half_yearly","urban","Endowment","married"
47,"female",750000,25,35,22484,"Yearly","rural","Endowment","married"
34,"female",250000,15,25,8921,"Monthly","semi-urban","Term","unmarried"
36,"male",550000,20,30,14757,"Quarterly","urban","Term","unmarried"
34,"female",1350000,10,20,30507,"Yearly","rural","ULIP","married"
35,"male",6e+05,10,20,19413,"Quarterly","urban","Term","married"
53,"female",250000,20,30,18488,"Monthly","urban","Endowment","married"
59,"female",4e+05,20,30,17772,"Half_yearly","semi-urban","Endowment","married"
56,"male",7e+05,30,40,23939,"Monthly","urban","Endowment","unmarried"
29,"female",4e+05,5,15,11708,"Quarterly","urban","Term","unmarried"
19,"male",1350000,10,20,24175,"Yearly","rural","ULIP","married"
25,"female",450000,5,15,10445,"Monthly","semi-urban","Term","married"
27,"male",550000,5,15,10404,"Quarterly","rural","Term","married"
42,"female",8e+05,30,40,16692,"Monthly","semi-urban","Term","married"
57,"male",950000,30,40,25867,"Half_yearly","urban","Endowment","married"
26,"male",1200000,10,20,27533,"Quarterly","urban","ULIP","unmarried"
49,"female",1400000,20,30,33318,"Monthly","urban","ULIP","married"
38,"female",650000,15,25,16577,"Monthly","urban","Term","married"
42,"female",6e+05,30,40,14041,"Yearly","rural","Term","married"
50,"female",1250000,20,30,32488,"Yearly","urban","ULIP","married"
39,"female",1150000,20,30,31459,"Yearly","urban","ULIP","unmarried"
42,"male",1250000,30,40,26467,"Monthly","rural","ULIP","married"
19,"male",750000,5,15,14960,"Yearly","urban","Term","married"
32,"female",1100000,20,30,29329,"Yearly","urban","ULIP","unmarried"
52,"male",8e+05,20,30,22729,"Monthly","urban","Endowment","married"
31,"male",350000,20,30,11678,"Monthly","semi-urban","Term","married"
40,"male",7e+05,15,25,15668,"Yearly","rural","Term","married"
30,"female",1400000,5,15,32429,"Quarterly","urban","ULIP","unmarried"
24,"female",1450000,5,15,29535,"Half_yearly","urban","ULIP","unmarried"
28,"female",1100000,5,15,25305,"Quarterly","rural","ULIP","married"
47,"male",8e+05,25,35,23253,"Monthly","urban","Endowment","unmarried"
20,"female",350000,5,15,9284,"Quarterly","semi-urban","Term","married"
56,"male",7e+05,20,30,23000,"Quarterly","urban","Endowment","married"
28,"male",9e+05,5,15,15586,"Monthly","semi-urban","Term","married"
32,"female",5e+05,10,20,9035,"Monthly","semi-urban","Term","widow"
50,"male",1450000,20,30,33954,"Yearly","rural","ULIP","married"
28,"male",4e+05,10,20,8395,"Quarterly","semi-urban","Term","married"
56,"female",750000,20,30,26892,"Quarterly","urban","Endowment","unmarried"
42,"male",1400000,20,30,31594,"Yearly","urban","ULIP","married"
47,"male",1500000,20,30,31788,"Yearly","semi-urban","ULIP","married"
23,"female",1350000,10,20,28046,"Monthly","semi-urban","ULIP","unmarried"
33,"female",1200000,15,25,30014,"Yearly","urban","ULIP","widow"
23,"female",4e+05,10,20,9044,"Quarterly","urban","Term","married"
30,"male",2e+05,10,20,10523,"Quarterly","urban","Term","widow"
24,"female",4e+05,5,15,9849,"Half_yearly","rural","Term","married"
59,"male",1150000,20,30,33203,"Quarterly","urban","ULIP","married"
57,"male",250000,30,40,19322,"Monthly","urban","Endowment","married"
39,"male",1200000,10,20,28251,"Monthly","rural","ULIP","married"
21,"female",4e+05,5,15,11135,"Half_yearly","semi-urban","Term","married"
37,"male",850000,15,25,20418,"Monthly","urban","Term","married"
45,"male",1350000,30,40,27625,"Monthly","rural","ULIP","married"
21,"female",550000,10,20,13239,"Yearly","urban","Term","married"
42,"female",1500000,30,40,32665,"Monthly","urban","ULIP","married"
39,"female",1300000,15,25,31550,"Half_yearly","rural","ULIP","married"
39,"male",350000,20,30,13179,"Yearly","semi-urban","Term","married"
43,"male",5e+05,25,35,12832,"Quarterly","semi-urban","Term","married"
50,"male",1050000,25,35,30057,"Monthly","urban","ULIP","married"
50,"male",1100000,25,35,31581,"Monthly","rural","ULIP","married"
52,"female",8e+05,30,40,22245,"Yearly","urban","Endowment","widow"
43,"female",1350000,20,30,30616,"Quarterly","urban","ULIP","married"
59,"male",1150000,20,30,29017,"Half_yearly","rural","ULIP","unmarried"
56,"female",3e+05,20,30,19174,"Monthly","urban","Endowment","married"
45,"male",1250000,20,30,28158,"Half_yearly","rural","ULIP","married"
41,"female",8e+05,25,35,13585,"Quarterly","rural","Term","married"
19,"male",650000,10,20,12832,"Half_yearly","rural","Term","unmarried"
50,"male",5e+05,30,40,16453,"Half_yearly","semi-urban","Endowment","married"
49,"male",1500000,30,40,33059,"Half_yearly","urban","ULIP","married"
38,"male",5e+05,20,30,10639,"Monthly","semi-urban","Term","unmarried"
52,"male",650000,25,35,21643,"Monthly","urban","Endowment","unmarried"
43,"female",1300000,20,30,30707,"Quarterly","urban","ULIP","married"
39,"male",6e+05,10,20,15976,"Monthly","semi-urban","Term","unmarried"
54,"female",1200000,20,30,28960,"Monthly","semi-urban","ULIP","unmarried"
52,"female",1050000,20,30,29847,"Monthly","urban","ULIP","married"
32,"female",2e+05,20,30,9843,"Quarterly","urban","Term","married"
24,"male",5e+05,10,20,8430,"Yearly","rural","Term","married"
28,"male",4e+05,10,20,14439,"Half_yearly","urban","Term","unmarried"
36,"male",3e+05,15,25,12170,"Monthly","semi-urban","Term","married"
31,"female",650000,15,25,12969,"Half_yearly","rural","Term","married"
29,"female",5e+05,10,20,12532,"Half_yearly","semi-urban","Term","married"
44,"female",1300000,30,40,30706,"Yearly","semi-urban","ULIP","married"
42,"male",1050000,20,30,25851,"Half_yearly","rural","ULIP","unmarried"
53,"female",350000,25,35,19357,"Half_yearly","urban","Endowment","married"
58,"male",1200000,20,30,27878,"Monthly","rural","ULIP","married"
50,"male",1350000,25,35,27855,"Monthly","semi-urban","ULIP","married"
34,"male",1450000,15,25,30720,"Half_yearly","urban","ULIP","married"
48,"male",450000,25,35,18572,"Monthly","urban","Endowment","unmarried"
42,"male",550000,25,35,14210,"Half_yearly","semi-urban","Term","married"
59,"male",1100000,30,40,28316,"Half_yearly","semi-urban","ULIP","unmarried"
55,"male",950000,20,30,23787,"Monthly","rural","Endowment","unmarried"
56,"female",1200000,25,35,28662,"Half_yearly","semi-urban","ULIP","married"
20,"male",1350000,10,20,26665,"Monthly","semi-urban","ULIP","married"
26,"male",850000,5,15,14276,"Monthly","urban","Term","married"
45,"female",1e+06,20,30,21652,"Quarterly","urban","Term","married"
45,"female",1e+06,20,30,15465,"Yearly","rural","Term","unmarried"
27,"male",6e+05,10,20,13043,"Quarterly","semi-urban","Term","married"
60,"male",1450000,30,40,32107,"Monthly","rural","ULIP","widow"
24,"male",1500000,10,20,32754,"Quarterly","urban","ULIP","unmarried"
51,"female",7e+05,20,30,19731,"Quarterly","urban","Endowment","unmarried"
42,"female",2e+05,30,40,11522,"Yearly","urban","Term","unmarried"
38,"female",850000,20,30,17491,"Monthly","urban","Term","unmarried"
30,"male",1e+06,10,20,16245,"Yearly","semi-urban","Term","married"
54,"female",1e+06,25,35,23341,"Monthly","urban","Endowment","married"
18,"male",550000,10,20,12454,"Half_yearly","urban","Term","married"
55,"female",1500000,25,35,36000,"Monthly","urban","ULIP","married"
38,"female",7e+05,10,20,16002,"Monthly","urban","Term","married"
45,"male",1350000,25,35,31634,"Quarterly","urban","ULIP","married"
19,"female",250000,10,20,10285,"Monthly","rural","Term","married"
58,"male",4e+05,25,35,18699,"Monthly","rural","Endowment","widow"
19,"male",4e+05,10,20,10641,"Monthly","urban","Term","married"
33,"female",1350000,20,30,31583,"Monthly","urban","ULIP","unmarried"
52,"female",3e+05,20,30,21569,"Monthly","urban","Endowment","unmarried"
20,"male",1050000,10,20,23526,"Yearly","semi-urban","ULIP","married"
39,"male",1450000,15,25,29734,"Yearly","urban","ULIP","married"
55,"male",1100000,20,30,29025,"Monthly","urban","ULIP","married"
58,"male",1350000,30,40,31254,"Yearly","urban","ULIP","married"
18,"female",1250000,10,20,26164,"Monthly","semi-urban","ULIP","unmarried"
25,"male",9e+05,5,15,17503,"Half_yearly","urban","Term","unmarried"
19,"male",1450000,5,15,30075,"Monthly","semi-urban","ULIP","unmarried"
19,"male",550000,10,20,12347,"Yearly","urban","Term","married"
50,"female",1200000,30,40,30068,"Monthly","semi-urban","ULIP","unmarried"
42,"female",750000,30,40,16006,"Quarterly","rural","Term","married"
20,"male",850000,5,15,16184,"Monthly","urban","Term","widow"
60,"female",1300000,30,40,30212,"Monthly","semi-urban","ULIP","married"
31,"male",8e+05,10,20,17890,"Half_yearly","urban","Term","unmarried"
60,"male",1450000,20,30,31411,"Half_yearly","urban","ULIP","unmarried"
20,"female",1400000,10,20,33302,"Monthly","urban","ULIP","married"
58,"female",1350000,20,30,35468,"Monthly","urban","ULIP","married"
60,"male",3e+05,25,35,18954,"Quarterly","rural","Endowment","unmarried"
40,"male",1250000,20,30,27842,"Monthly","urban","ULIP","married"
50,"male",250000,25,35,16180,"Monthly","semi-urban","Endowment","married"
55,"female",750000,25,35,20878,"Yearly","urban","Endowment","married"
36,"female",950000,20,30,17183,"Monthly","semi-urban","Term","married"
49,"male",1150000,25,35,30103,"Monthly","semi-urban","ULIP","married"
47,"female",5e+05,30,40,17593,"Monthly","rural","Endowment","unmarried"
25,"male",5e+05,10,20,11752,"Monthly","urban","Term","married"
25,"female",1300000,10,20,28566,"Half_yearly","urban","ULIP","unmarried"
19,"male",1300000,10,20,26845,"Monthly","semi-urban","ULIP","married"
58,"female",1e+06,30,40,24627,"Quarterly","semi-urban","Endowment","married"
42,"female",250000,20,30,10243,"Monthly","semi-urban","Term","married"
47,"male",1500000,25,35,32743,"Yearly","urban","ULIP","married"
53,"female",6e+05,25,35,21067,"Yearly","semi-urban","Endowment","unmarried"
22,"male",1200000,5,15,25848,"Monthly","rural","ULIP","widow"
32,"male",250000,10,20,8447,"Monthly","urban","Term","unmarried"
53,"male",1100000,20,30,29450,"Half_yearly","urban","ULIP","unmarried"
34,"female",750000,15,25,15151,"Quarterly","rural","Term","unmarried"
25,"female",1100000,5,15,23339,"Monthly","rural","ULIP","married"
52,"male",350000,25,35,17511,"Monthly","rural","Endowment","married"
55,"male",1350000,25,35,31474,"Yearly","semi-urban","ULIP","married"
58,"male",1e+06,30,40,22829,"Half_yearly","semi-urban","Endowment","married"
53,"male",750000,20,30,21858,"Half_yearly","semi-urban","Endowment","married"
39,"female",650000,10,20,13364,"Yearly","semi-urban","Term","married"
18,"female",5e+05,10,20,11221,"Quarterly","urban","Term","married"
40,"female",1500000,20,30,31757,"Monthly","urban","ULIP","unmarried"
60,"male",450000,30,40,19825,"Monthly","urban","Endowment","unmarried"
